customer,months,year,Gross_sales_Amount
"Atliq Exclusive",September,2017,304.77
"Atliq Exclusive",September,2017,318.78
"Atliq Exclusive",September,2017,315.77
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,18.65
"Atliq Exclusive",September,2017,17.50
"Atliq Exclusive",September,2017,19.05
"Atliq Exclusive",September,2017,19.92
"Atliq Exclusive",September,2017,19.74
"Atliq Exclusive",September,2017,18.65
"Atliq Exclusive",September,2017,17.50
"Atliq Exclusive",September,2017,19.05
"Atliq Exclusive",September,2017,19.92
"Atliq Exclusive",September,2017,19.74
"Atliq Exclusive",September,2017,55.94
"Atliq Exclusive",September,2017,52.51
"Atliq Exclusive",September,2017,57.15
"Atliq Exclusive",September,2017,59.77
"Atliq Exclusive",September,2017,59.21
"Atliq Exclusive",September,2017,764.47
"Atliq Exclusive",September,2017,717.61
"Atliq Exclusive",September,2017,780.98
"Atliq Exclusive",September,2017,816.88
"Atliq Exclusive",September,2017,809.17
"Atliq Exclusive",September,2017,879.63
"Atliq Exclusive",September,2017,842.82
"Atliq Exclusive",September,2017,946.52
"Atliq Exclusive",September,2017,1023.91
"Atliq Exclusive",September,2017,1037.68
"Atliq Exclusive",September,2017,396.70
"Atliq Exclusive",September,2017,380.09
"Atliq Exclusive",September,2017,426.86
"Atliq Exclusive",September,2017,461.76
"Atliq Exclusive",September,2017,467.97
"Atliq Exclusive",September,2017,103.49
"Atliq Exclusive",September,2017,99.15
"Atliq Exclusive",September,2017,111.36
"Atliq Exclusive",September,2017,120.46
"Atliq Exclusive",September,2017,122.08
"Atliq Exclusive",September,2017,551.93
"Atliq Exclusive",September,2017,528.83
"Atliq Exclusive",September,2017,593.89
"Atliq Exclusive",September,2017,642.45
"Atliq Exclusive",September,2017,651.09
"Atliq Exclusive",September,2017,224.22
"Atliq Exclusive",September,2017,214.84
"Atliq Exclusive",September,2017,241.27
"Atliq Exclusive",September,2017,261.00
"Atliq Exclusive",September,2017,264.51
"Atliq Exclusive",September,2017,155.23
"Atliq Exclusive",September,2017,148.73
"Atliq Exclusive",September,2017,167.03
"Atliq Exclusive",September,2017,180.69
"Atliq Exclusive",September,2017,183.12
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,17.25
"Atliq Exclusive",September,2017,16.53
"Atliq Exclusive",September,2017,18.56
"Atliq Exclusive",September,2017,20.08
"Atliq Exclusive",September,2017,20.35
"Atliq Exclusive",September,2017,17.25
"Atliq Exclusive",September,2017,16.53
"Atliq Exclusive",September,2017,18.56
"Atliq Exclusive",September,2017,20.08
"Atliq Exclusive",September,2017,20.35
"Atliq Exclusive",September,2017,103.49
"Atliq Exclusive",September,2017,99.15
"Atliq Exclusive",September,2017,111.36
"Atliq Exclusive",September,2017,120.46
"Atliq Exclusive",September,2017,122.08
"Atliq Exclusive",September,2017,1483.30
"Atliq Exclusive",September,2017,1421.22
"Atliq Exclusive",September,2017,1596.09
"Atliq Exclusive",September,2017,1726.59
"Atliq Exclusive",September,2017,1749.82
"Atliq Exclusive",September,2017,5228.19
"Atliq Exclusive",September,2017,5126.79
"Atliq Exclusive",September,2017,5725.13
"Atliq Exclusive",September,2017,5999.59
"Atliq Exclusive",September,2017,1645.91
"Atliq Exclusive",September,2017,1613.99
"Atliq Exclusive",September,2017,1802.36
"Atliq Exclusive",September,2017,1888.76
"Atliq Exclusive",September,2017,193.64
"Atliq Exclusive",September,2017,189.88
"Atliq Exclusive",September,2017,212.04
"Atliq Exclusive",September,2017,222.21
"Atliq Exclusive",September,2017,2033.19
"Atliq Exclusive",September,2017,1993.75
"Atliq Exclusive",September,2017,2226.44
"Atliq Exclusive",September,2017,2333.18
"Atliq Exclusive",September,2017,290.46
"Atliq Exclusive",September,2017,284.82
"Atliq Exclusive",September,2017,318.06
"Atliq Exclusive",September,2017,333.31
"Atliq Exclusive",September,2017,871.37
"Atliq Exclusive",September,2017,854.46
"Atliq Exclusive",September,2017,954.19
"Atliq Exclusive",September,2017,999.93
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,96.82
"Atliq Exclusive",September,2017,94.94
"Atliq Exclusive",September,2017,106.02
"Atliq Exclusive",September,2017,111.10
"Atliq Exclusive",September,2017,96.82
"Atliq Exclusive",September,2017,94.94
"Atliq Exclusive",September,2017,106.02
"Atliq Exclusive",September,2017,111.10
"Atliq Exclusive",September,2017,387.27
"Atliq Exclusive",September,2017,379.76
"Atliq Exclusive",September,2017,424.08
"Atliq Exclusive",September,2017,444.41
"Atliq Exclusive",September,2017,1065.00
"Atliq Exclusive",September,2017,1044.35
"Atliq Exclusive",September,2017,1166.23
"Atliq Exclusive",September,2017,1222.14
"Atliq Exclusive",September,2017,2826.67
"Atliq Exclusive",September,2017,2649.02
"Atliq Exclusive",September,2017,3045.90
"Atliq Exclusive",September,2017,3210.47
"Atliq Exclusive",September,2017,1522.05
"Atliq Exclusive",September,2017,1426.40
"Atliq Exclusive",September,2017,1640.10
"Atliq Exclusive",September,2017,1728.72
"Atliq Exclusive",September,2017,108.72
"Atliq Exclusive",September,2017,101.89
"Atliq Exclusive",September,2017,117.15
"Atliq Exclusive",September,2017,123.48
"Atliq Exclusive",September,2017,1195.90
"Atliq Exclusive",September,2017,1120.74
"Atliq Exclusive",September,2017,1288.65
"Atliq Exclusive",September,2017,1358.28
"Atliq Exclusive",September,2017,1195.90
"Atliq Exclusive",September,2017,1120.74
"Atliq Exclusive",September,2017,1288.65
"Atliq Exclusive",September,2017,1358.28
"Atliq Exclusive",September,2017,1195.90
"Atliq Exclusive",September,2017,1120.74
"Atliq Exclusive",September,2017,1288.65
"Atliq Exclusive",September,2017,1358.28
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,108.72
"Atliq Exclusive",September,2017,101.89
"Atliq Exclusive",September,2017,117.15
"Atliq Exclusive",September,2017,123.48
"Atliq Exclusive",September,2017,108.72
"Atliq Exclusive",September,2017,101.89
"Atliq Exclusive",September,2017,117.15
"Atliq Exclusive",September,2017,123.48
"Atliq Exclusive",September,2017,326.15
"Atliq Exclusive",September,2017,305.66
"Atliq Exclusive",September,2017,351.45
"Atliq Exclusive",September,2017,370.44
"Atliq Exclusive",September,2017,5327.18
"Atliq Exclusive",September,2017,4992.39
"Atliq Exclusive",September,2017,5740.35
"Atliq Exclusive",September,2017,6050.51
"Atliq Exclusive",September,2017,1577.49
"Atliq Exclusive",September,2017,1660.32
"Atliq Exclusive",September,2017,1740.47
"Atliq Exclusive",September,2017,1858.97
"Atliq Exclusive",September,2017,1577.49
"Atliq Exclusive",September,2017,1660.32
"Atliq Exclusive",September,2017,1740.47
"Atliq Exclusive",September,2017,1858.97
"Atliq Exclusive",September,2017,631.00
"Atliq Exclusive",September,2017,664.13
"Atliq Exclusive",September,2017,696.19
"Atliq Exclusive",September,2017,743.59
"Atliq Exclusive",September,2017,525.83
"Atliq Exclusive",September,2017,553.44
"Atliq Exclusive",September,2017,580.16
"Atliq Exclusive",September,2017,619.66
"Atliq Exclusive",September,2017,315.50
"Atliq Exclusive",September,2017,332.06
"Atliq Exclusive",September,2017,348.09
"Atliq Exclusive",September,2017,371.79
"Atliq Exclusive",September,2017,420.66
"Atliq Exclusive",September,2017,442.75
"Atliq Exclusive",September,2017,464.12
"Atliq Exclusive",September,2017,495.73
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,105.17
"Atliq Exclusive",September,2017,110.69
"Atliq Exclusive",September,2017,116.03
"Atliq Exclusive",September,2017,123.93
"Atliq Exclusive",September,2017,105.17
"Atliq Exclusive",September,2017,110.69
"Atliq Exclusive",September,2017,116.03
"Atliq Exclusive",September,2017,123.93
"Atliq Exclusive",September,2017,210.33
"Atliq Exclusive",September,2017,221.38
"Atliq Exclusive",September,2017,232.06
"Atliq Exclusive",September,2017,247.86
"Atliq Exclusive",September,2017,2523.99
"Atliq Exclusive",September,2017,2656.51
"Atliq Exclusive",September,2017,2784.75
"Atliq Exclusive",September,2017,2974.36
"Atliq Exclusive",September,2017,5259.48
"Atliq Exclusive",September,2017,4894.42
"Atliq Exclusive",September,2017,5730.81
"Atliq Exclusive",September,2017,5840.41
"Atliq Exclusive",September,2017,6715.90
"Atliq Exclusive",September,2017,1342.85
"Atliq Exclusive",September,2017,1249.64
"Atliq Exclusive",September,2017,1463.19
"Atliq Exclusive",September,2017,1491.17
"Atliq Exclusive",September,2017,1714.70
"Atliq Exclusive",September,2017,223.81
"Atliq Exclusive",September,2017,208.27
"Atliq Exclusive",September,2017,243.86
"Atliq Exclusive",September,2017,248.53
"Atliq Exclusive",September,2017,285.78
"Atliq Exclusive",September,2017,1230.94
"Atliq Exclusive",September,2017,1145.50
"Atliq Exclusive",September,2017,1341.25
"Atliq Exclusive",September,2017,1366.90
"Atliq Exclusive",September,2017,1571.81
"Atliq Exclusive",September,2017,1007.14
"Atliq Exclusive",September,2017,937.23
"Atliq Exclusive",September,2017,1097.39
"Atliq Exclusive",September,2017,1118.38
"Atliq Exclusive",September,2017,1286.02
"Atliq Exclusive",September,2017,1007.14
"Atliq Exclusive",September,2017,937.23
"Atliq Exclusive",September,2017,1097.39
"Atliq Exclusive",September,2017,1118.38
"Atliq Exclusive",September,2017,1286.02
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,111.90
"Atliq Exclusive",September,2017,104.14
"Atliq Exclusive",September,2017,121.93
"Atliq Exclusive",September,2017,124.26
"Atliq Exclusive",September,2017,142.89
"Atliq Exclusive",September,2017,223.81
"Atliq Exclusive",September,2017,208.27
"Atliq Exclusive",September,2017,243.86
"Atliq Exclusive",September,2017,248.53
"Atliq Exclusive",September,2017,285.78
"Atliq Exclusive",September,2017,5707.10
"Atliq Exclusive",September,2017,5310.97
"Atliq Exclusive",September,2017,6218.54
"Atliq Exclusive",September,2017,6337.46
"Atliq Exclusive",September,2017,7287.46
"Atliq Exclusive",September,2017,961.01
"Atliq Exclusive",September,2017,980.06
"Atliq Exclusive",September,2017,1039.31
"Atliq Exclusive",September,2017,1036.67
"Atliq Exclusive",September,2017,1182.63
"Atliq Exclusive",September,2017,1081.14
"Atliq Exclusive",September,2017,1102.57
"Atliq Exclusive",September,2017,1169.22
"Atliq Exclusive",September,2017,1166.25
"Atliq Exclusive",September,2017,1330.46
"Atliq Exclusive",September,2017,600.63
"Atliq Exclusive",September,2017,612.54
"Atliq Exclusive",September,2017,649.57
"Atliq Exclusive",September,2017,647.92
"Atliq Exclusive",September,2017,739.15
"Atliq Exclusive",September,2017,2522.66
"Atliq Exclusive",September,2017,2572.66
"Atliq Exclusive",September,2017,2728.19
"Atliq Exclusive",September,2017,2721.26
"Atliq Exclusive",September,2017,3104.42
"Atliq Exclusive",September,2017,2042.15
"Atliq Exclusive",September,2017,2082.63
"Atliq Exclusive",September,2017,2208.53
"Atliq Exclusive",September,2017,2202.92
"Atliq Exclusive",September,2017,2513.10
"Atliq Exclusive",September,2017,961.01
"Atliq Exclusive",September,2017,980.06
"Atliq Exclusive",September,2017,1039.31
"Atliq Exclusive",September,2017,1036.67
"Atliq Exclusive",September,2017,1182.63
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,240.25
"Atliq Exclusive",September,2017,245.02
"Atliq Exclusive",September,2017,259.83
"Atliq Exclusive",September,2017,259.17
"Atliq Exclusive",September,2017,295.66
"Atliq Exclusive",September,2017,120.13
"Atliq Exclusive",September,2017,122.51
"Atliq Exclusive",September,2017,129.91
"Atliq Exclusive",September,2017,129.58
"Atliq Exclusive",September,2017,147.83
"Atliq Exclusive",September,2017,480.51
"Atliq Exclusive",September,2017,490.03
"Atliq Exclusive",September,2017,519.66
"Atliq Exclusive",September,2017,518.33
"Atliq Exclusive",September,2017,591.32
"Atliq Exclusive",September,2017,4444.68
"Atliq Exclusive",September,2017,4532.78
"Atliq Exclusive",September,2017,4806.81
"Atliq Exclusive",September,2017,4794.59
"Atliq Exclusive",September,2017,5469.68
"Atliq Exclusive",September,2017,4337.83
"Atliq Exclusive",September,2017,4515.22
"Atliq Exclusive",September,2017,4509.99
"Atliq Exclusive",September,2017,5176.16
"Atliq Exclusive",September,2017,5423.18
"Atliq Exclusive",September,2017,586.19
"Atliq Exclusive",September,2017,610.16
"Atliq Exclusive",September,2017,609.46
"Atliq Exclusive",September,2017,699.48
"Atliq Exclusive",September,2017,732.86
"Atliq Exclusive",September,2017,586.19
"Atliq Exclusive",September,2017,610.16
"Atliq Exclusive",September,2017,609.46
"Atliq Exclusive",September,2017,699.48
"Atliq Exclusive",September,2017,732.86
"Atliq Exclusive",September,2017,2579.25
"Atliq Exclusive",September,2017,2684.72
"Atliq Exclusive",September,2017,2681.62
"Atliq Exclusive",September,2017,3077.72
"Atliq Exclusive",September,2017,3224.59
"Atliq Exclusive",September,2017,351.72
"Atliq Exclusive",September,2017,366.10
"Atliq Exclusive",September,2017,365.67
"Atliq Exclusive",September,2017,419.69
"Atliq Exclusive",September,2017,439.72
"Atliq Exclusive",September,2017,234.48
"Atliq Exclusive",September,2017,244.07
"Atliq Exclusive",September,2017,243.78
"Atliq Exclusive",September,2017,279.79
"Atliq Exclusive",September,2017,293.14
"Atliq Exclusive",September,2017,0.00
